,estimator,min_score,mean_score,max_score,std_score,model__max_depth,model__max_leaf_nodes,model__min_samples_leaf,model__min_samples_split,model__n_estimators,model__gamma,model__learning_rate
54,RandomForestClassifier,0.6720430107526881,0.696774193548387,0.7150537634408602,0.016518593006169067,15,,50,2,100,,
96,XGBClassifier,0.6559139784946236,0.696774193548387,0.7473118279569892,0.034776261567303735,,,,,30,0,0.001
55,RandomForestClassifier,0.6720430107526881,0.6956989247311828,0.7150537634408602,0.015433010854201444,15,,50,2,50,,
58,RandomForestClassifier,0.6720430107526881,0.6956989247311828,0.7150537634408602,0.015433010854201444,15,,50,50,50,,
132,XGBClassifier,0.6559139784946236,0.6956989247311828,0.7419354838709677,0.03324650501879638,,,,,30,0.1,0.001
33,RandomForestClassifier,0.6720430107526881,0.6956989247311828,0.7150537634408602,0.015433010854201444,4,,50,50,100,,
10,RandomForestClassifier,0.6720430107526881,0.6956989247311828,0.7150537634408602,0.015433010854201444,,,50,50,50,,
30,RandomForestClassifier,0.6720430107526881,0.6956989247311828,0.7150537634408602,0.015433010854201444,4,,50,2,100,,
7,RandomForestClassifier,0.6720430107526881,0.6956989247311828,0.7150537634408602,0.015433010854201444,,,50,2,50,,
46,RandomForestClassifier,0.6881720430107527,0.6946236559139786,0.7043010752688172,0.006269840747145479,4,50,50,50,50,,
123,XGBClassifier,0.6505376344086021,0.6946236559139786,0.7258064516129032,0.025985045104504483,3,,,,30,0.1,0.01
87,XGBClassifier,0.6505376344086021,0.6946236559139786,0.7258064516129032,0.025985045104504483,3,,,,30,0,0.01
43,RandomForestClassifier,0.6881720430107527,0.6946236559139786,0.7043010752688172,0.006269840747145479,4,50,50,2,50,,
41,RandomForestClassifier,0.6451612903225806,0.6935483870967742,0.7365591397849462,0.029052163626035053,4,50,1,50,140,,
137,XGBClassifier,0.6397849462365591,0.69247311827957,0.7258064516129032,0.02972102142168874,3,,,,200,0.1,0.001
124,XGBClassifier,0.6505376344086021,0.69247311827957,0.7150537634408602,0.02365591397849465,3,,,,80,0.1,0.01
136,XGBClassifier,0.6397849462365591,0.69247311827957,0.7258064516129032,0.02972102142168874,3,,,,80,0.1,0.001
88,XGBClassifier,0.6505376344086021,0.69247311827957,0.7150537634408602,0.02365591397849465,3,,,,80,0,0.01
28,RandomForestClassifier,0.6559139784946236,0.69247311827957,0.7365591397849462,0.030298930760441684,4,,1,50,50,,
101,XGBClassifier,0.6397849462365591,0.69247311827957,0.7258064516129032,0.02972102142168874,3,,,,200,0,0.001
100,XGBClassifier,0.6397849462365591,0.69247311827957,0.7258064516129032,0.02972102142168874,3,,,,80,0,0.001
22,RandomForestClassifier,0.6720430107526881,0.6924731182795698,0.7043010752688172,0.011973686801785021,,50,50,50,50,,
19,RandomForestClassifier,0.6720430107526881,0.6924731182795698,0.7043010752688172,0.011973686801785021,,50,50,2,50,,
70,RandomForestClassifier,0.6720430107526881,0.6924731182795698,0.7043010752688172,0.011973686801785021,15,50,50,50,50,,
67,RandomForestClassifier,0.6720430107526881,0.6924731182795698,0.7043010752688172,0.011973686801785021,15,50,50,2,50,,
39,RandomForestClassifier,0.6290322580645161,0.6913978494623656,0.7365591397849462,0.034942100665100916,4,50,1,50,100,,
27,RandomForestClassifier,0.6612903225806451,0.6913978494623656,0.7365591397849462,0.026903217211175945,4,,1,50,100,,
99,XGBClassifier,0.6397849462365591,0.6903225806451614,0.7150537634408602,0.027540319300786466,3,,,,30,0,0.001
